,Rank,Song Name,Artist,Duration,Album,Year,Lyrics
33,34,Hallelujah,Jeff Buckley,256,Grace,1994-08-23,"[Verse 1]
Well I heard there was a secret chord
That David played, and it pleased the Lord
But you don't really care for music, do ya?
Well it goes like this, the fourth, the fifth
The minor fall and the major lift
The baffled king composing ""Hallelujah""

[Chorus]
Hallelujah
Hallelujah
Hallelujah
Hallelujah

[Verse 2]
Well, your faith was strong but you needed proof
You saw her bathing on the roof
Her beauty and the moonlight overthrew ya
And she tied you to her kitchen chair
And she broke your throne and she cut your hair
And from your lips she drew the Hallelujah

[Chorus]
Hallelujah
Hallelujah
Hallelujah
Hallelujah

[Verse 3]
Well, baby, I've been here before
I've seen this room and I've walked this floor
You know, I used to live alone before I knew ya
And I've seen your flag on the marble arch
And love is not a victory march
It's a cold and it's a broken Hallelujah

[Chorus]
Hallelujah
Hallelujah
Hallelujah
Hallelujah

[Verse 4]
Well, there was a time when you let me know
What's really going on below
But now you never show that to me, do ya?
But remember when I moved in you
And the holy dove was moving too
And every breath we drew was Hallelujah

[Chorus]
Hallelujah
Hallelujah
Hallelujah
Hallelujah

[Instrumental]

[Verse 5]
Maybe there's a God above
But all I've ever learned from love
Was how to shoot somebody who outdrew ya
And it's not a cry that you hear at night
It's not somebody who's seen the light
It's a cold and it's a broken Hallelujah

[Chorus]
Hallelujah
Hallelujah
Hallelujah
Hallelujah
Hallelujah
Hallelujah
Hallelujah
Hallelujah
Hallelujah
Hallelujah
Hallelujah
Hallelujah
Hallelujah"
34,35,Set Fire to the Rain,Adele,239,21,2011-01-24,"[Produced by Fraser T Smith]

[Verse 1]
I let it fall, my heart
And as it fell, you rose to claim it
It was dark, and I was over
Until you kissed my lips and you saved me
My hands, they were strong
But my knees were far too weak
To stand in your arms
Without falling to your feet

[Pre-Chorus]
But there's a side to you
That I never knew, never knew
All the things you'd say
They were never true, never true
And the games you'd play
You would always win, always win

[Chorus]
But I set fire to the rain
Watched it pour as I touched your face
Well, it burned while I cried
'Cause I heard it screaming out your name
Your name

[Verse 2]
When I lay with you
I could stay there, close my eyes
Feel you here forever
You and me together, nothing is better

[Pre-Chorus]
'Cause there's a side to you
That I never knew, never knew
All the things you'd say
They were never true, never true
And the games you'd play
You would always win, always win

[Chorus]
But I set fire to the rain
Watched it pour as I touched your face
Well, it burned while I cried
'Cause I heard it screaming out your name
Your name

I set fire to the rain
And I threw us into the flames
When it fell, something died
'Cause I knew that that was the last time
The last time

[Bridge]
Sometimes, I wake up by the door
That heart you caught must be waiting for you
Even now, when we're already over
I can't help myself from looking for you

[Chorus]
I set fire to the rain
Watched it pour as I touched your face
Well, it burned while I cried
'Cause I heard it screaming out your name
Your name

I set fire to the rain
And I threw us into the flames
When it fell, something died
'Cause I knew that that was the last time
The last time

[Outro]
Oh, oh, no
Let it burn
Oh, oh, oh
Let it burn
Let it burn"
35,36,House of Cards,Radiohead,352,In Rainbows,2007-10-10,"[Verse 1]
I don't wanna be your friend
I just wanna be your lover
No matter how it ends
No matter how it starts

[Chorus]
Forget about your house of cards
And I'll do mine
Forget about your house of cards
And I'll do mine
And fall off the table
Get swept under
Denial, denial

[Verse 2]
The infrastructure will collapse
From voltage spikes
Throw your keys in the bowl
Kiss your husband 'good night'

[Chorus]
And forget about your house of cards
And I'll do mine
Forget about your house of cards
And I'll do mine
Fall off the table
Get swept under
Denial, denial
Denial, denial

[Outro]
(Your ears should be burning)
Denial, denial
(Your ears should be burning)
Denial, denial"
36,37,I Don't Want to Miss a Thing,Aerosmith,299,Armageddon,1998-08-18,"[Verse 1]
I could stay awake just to hear you breathin'
Watch you smile while you are sleeping
While you're far away and dreaming
I could spend my life in this sweet surrender
I could stay lost in this moment forever
Where every moment spent with you is a moment I treasure

[Chorus]
Don't want to close my eyes
I don't want to fall asleep
'Cause I'd miss you, baby
And I don't wanna miss a thing
'Cause even when I dream of you (even when I dream)
The sweetest dream would never do
I'd still miss you, babe
And I don't want to miss a thing

[Verse 2]
Lying close to you feeling your heart beating
And I'm wondering what you're dreaming
Wonderin' if it's me you're seeing
Then I kiss your eyes and thank God we're together
And I just want to stay with you
In this moment forever
Forever and ever

[Chorus]
I don't want to close my eyes
I don't want to fall asleep
'Cause I'd miss you, baby
And I don't wanna miss a thing
'Cause even when I dream of you (even when I dream)
The sweetest dream would never do
I'd still miss you, baby
And I don't want to miss a thing

[Bridge]
I don't want to miss one smile
I don't want to miss one kiss
Well, I just want to be with you
Right here with you, just like this
I just want to hold you close
I feel your heart so close to mine
And just stay here in this moment
For all the rest of time
Yeah (yeah)
Yeah (yeah)
Yeah!

[Chorus]
Don't want to close my eyes
Don't want to fall asleep
'Cause I'd miss you, baby
And I don't wanna miss a thing
'Cause even when I dream of you (even when I dream)
The sweetest dream would never do
I'd still miss you, baby
And I don't want to miss a thing

[Chorus]
I don't want to close my eyes
I don't want to fall asleep
'Cause I'd miss you, baby
And I don't wanna miss a thing
'Cause even when I dream of you
The sweetest dream would never do
I'd still miss you, baby
And I don't want to miss a thing

[Outro]
Don't want to close my eyes
I don't want to fall asleep, yeah
I don't want to miss a thing"
37,38,You're Beautiful,James Blunt,214,Back to Bedlam,2005-05-30,"[Intro]
My life is brilliant

[Verse 1]
My life is brilliant, my love is pure
I saw an angel, of that I'm sure
She smiled at me on the subway
She was with another man
But I won't lose no sleep on that
'Cause I've got a plan

[Chorus]
You're beautiful, you're beautiful
You're beautiful, it's true
I saw your face, in a crowded place
And I don't know what to do
'Cause I'll never be with you

[Verse 2]
Yeah, she caught my eye, as we walked on by
She could see from my face that I was, fucking high
And I don't think that I'll see her again
But we shared a moment that will last 'til the end

[Chorus]
You're beautiful, you're beautiful
You're beautiful, it's true
I saw your face, in a crowded place
And I don't know what to do
'Cause I'll never be with you

(Na na na na, na na na na, na na na na, na)

[Outro]
You're beautiful, you're beautiful
You're beautiful, it's true
There must be an angel, with a smile on her face
When she thought up that I should be with you
But it's time to face the truth
I will never be with you"
38,39,Bleeding Love,Leona Lewis,260,Spirit,2007-10-19,"[Verse 1]
Closed off from love, I didn't need the pain
Once or twice was enough and it was all in vain
Time starts to pass, before you know it you're frozen
But something happened for the very first time with you
My heart melted to the ground
Found something true
And everyone's looking round thinking I'm going crazy

[Pre-Chorus]
But I don't care what they say, I'm in love with you
They try to pull me away, but they don't know the truth
My heart's crippled by the vein that I keep on closing
You cut me open and I

[Chorus]
Keep bleeding
Keep, keep bleeding love
I keep bleeding
I keep, keep bleeding love
Keep bleeding
Keep, keep bleeding love
You cut me open

[Verse 2]
Trying hard not to hear, but they talk so loud
Their piercing sounds fill my ears, try to fill me with doubt
Yet I know that their goal is to keep me from falling
But nothing's greater than the risk
That comes with your embrace
And in this world of loneliness, I see your face
Yet everyone around me thinks that I'm going crazy
Maybe, maybe

[Pre-Chorus]
But I don't care what they say, I'm in love with you
They try to pull me away, but they don't know the truth
My heart's crippled by the vein that I keep on closing
You cut me open and I

[Chorus]
Keep bleeding
Keep, keep bleeding love
I keep bleeding
I keep, keep bleeding love
Keep bleeding
Keep, keep bleeding love
You cut me open

[Bridge]
And it's draining all of me
Though they find it hard to believe
I'll be wearing these scars for everyone to see

[Pre-Chorus]
But I don't care what they say, I'm in love with you
They try to pull me away, but they don't know the truth
My heart's crippled by the vein that I keep on closing
You cut me open and I

[Chorus]
Keep bleeding
Keep, keep bleeding love
I keep bleeding
I keep, keep bleeding love
Keep bleeding
Keep, keep bleeding love
(Ooh, you cut me open and I)
Keep bleeding
Keep, keep bleeding love
I keep bleeding (Oohhh)
I keep, keep bleeding love
Keep bleeding (I keep...)
Keep, keep bleeding love

[Outro]
Ooh, you cut me open and I
Keep bleeding
Keep, keep bleeding love"
39,40,One,U2,277,Achtung Baby,1992-03-06,"[Verse 1]
Is it getting better
Or do you feel the same?
Will it make it easier on you, now
You got someone to blame?

[Chorus 1]
You say one love, one life
When it's one need in the night
One love, we get to share it
Leaves you, baby, if you don't care for it

[Verse 2]
Did I disappoint you
Or leave a bad taste in your mouth?
You act like you never had love
And you want me to go without

[Chorus 2]
Well, it's too late tonight
To drag the past out into the light
We're one, but we're not the same
We get to carry each other, carry each other
One

[Verse 3]
Have you come here for forgiveness?
Have you come to raise the dead?
Have you come here to play Jesus
To the lepers in your head?

[Chorus 3]
Did I ask too much? More than a lot
You gave me nothing, now it's all I got
We're one, but we're not the same
Well, we hurt each other, then we do it again

[Bridge]
You say love is a temple, love a higher law
Love is a temple, love the higher law
You ask me to enter, but then you make me crawl
And I can't be holding on to what you got
When all you got is hurt

[Chorus 4]
One love, one blood
One life, you got to do what you should
One life with each other
Sisters, brothers
One life, but we're not the same
We get to carry each other, carry each other
One
One

[Outro]
Ooh-ooh-ooh
Oh-ooh
May we, may we, may we get
Higher
Oh, higher
(Ay, yeah, go) higher
(Oh) Higher"
40,41,Home,Edward Sharpe & The Magnetic Zeros,302,,2009-07-07,"[Verse 1: Jade & Alexander]
Alabama, Arkansas, I do love my Ma and Pa
Not the way that I do love you
Holy moly, me oh my, you're the apple of my eye
Girl, I never loved one like you
Man, oh, man, you're my best friend, I scream it to the nothingness
There ain't nothing that I need
Hot and heavy pumpkin pie, chocolate candy, Jesus Christ
Ain't nothing please me more than you

[Chorus: Both]
Oh, home, let me come home
Home is whenever I'm with you
Oh, home, let me come home
Home is wherever I'm with you

[Post-Chorus: Both]
La, la, la, la, take me home
Mommy, I'm coming home

[Verse 2: Jade & Alexander & both]
I'll follow you into the park, through the jungle, through the dark
Girl, I never loved one like you
Moats and boats and waterfalls, alleyways and pay phone calls
I been everywhere with you (that's true)
Laugh until we think we'll die, barefoot on a summer night
Never could be sweeter than with you
And in the streets you run afree, like it's only you and me
Geeze, you're something to see

[Chorus: Both]
Oh, home, let me come home
Home is whenever I'm with you
Oh, home, let me come home
Home is wherever I'm with you

[Post-Chorus: Bridge]
La, la, la, la take me home
Daddy, I'm coming home

[Bridge: Jade & Alexander (spoken)]
Jade?
Alexander?
Do you remember that day you fell outta my window?
I sure do ‒ you came jumping out after me!
Well, you fell on the concrete and nearly broke you ass, you were bleeding all over the place, I rushed you out to the hospital, you remember that?
Yes, I do
Well there's something I never told you about that night...
What didn't you tell me?
While you were sitting in the back seat smoking a cigarette you thought was gonna be your last, I was falling deep, deeply in love with you, and I never told you till just now!
Aww!

[Chorus: Both]
Oh, home, let me come home
Home is whenever I'm with you
Oh, home, let me come home
Home is where I'm alone with you

[Outro: Jade & Alexander]
Home, let me come home
Home is wherever I'm with you
Home, yes I am home
Home is when I'm alone with you

Alabama, Arkansas
I do love my Ma and Pa
Moats and boats and waterfalls
Alleyways and payphone calls

(Oh home) Home
(Oh home) Home
Home is wherever I'm with you
(Oh home) Home
(Oh home) Home
Home is wherever I'm with you"
41,42,All You Need Is Love,The Beatles,228,Magical Mystery Tour,1967-07-07,"[Intro]
Love, love, love
Love, love, love
Love, love, love

[Verse 1]
There's nothing you can do that can't be done
Nothing you can sing that can't be sung
Nothing you can say, but you can learn how to play the game
It's easy

[Verse 2]
Nothing you can make that can't be made
No one you can save that can't be saved
Nothing you can do, but you can learn how to be you in time
It's easy

[Chorus]
All you need is love
All you need is love
All you need is love, love
Love is all you need

[Chorus]
All you need is love
All you need is love
All you need is love, love
Love is all you need

[Verse 3]
There's nothing you can know that isn't known
Nothing you can see that isn't shown
There's nowhere you can be that isn't where you're meant to be
It's easy

[Chorus]
All you need is love
All you need is love
All you need is love, love
Love is all you need

[Outro]
All you need is love (All together now)
All you need is love (Everybody)
All you need is love, love
Love is all you need
(Yesterday)
(Oh yeah)
(She loves you, yeah, yeah, yeah)
(She loves you, yeah, yeah, yeah)
(Oh, yesterday)"
42,43,Digital Love,Daft Punk,298,Discovery,2001-02-26,"[Produced by Daft Punk]

[Verse]
Last night I had a dream about you
In this dream, I'm dancing right beside you
And it looked like everyone was having fun
The kind of feeling I've waited so long
Don't stop, come a little closer
As we jam, the rhythm gets stronger
There's nothing wrong with just a little little fun
We were dancing all night long
The time is right to put my arms around you
You're feeling right, you wrap your arms around too
But suddenly I feel the shining sun
Before I knew it, this dream was all gone

[Chorus]
Ooh, I don't know what to do
About this dream and you
I wish this dream comes true
Ooh, I don't know what to do
About this dream and you
We'll make this dream come true

[Bridge]
Why don't you play the game?
Why don't you play the game?"
43,44,Ho Hey,The Lumineers,163,The Lumineers,2012-04-03,"[Verse 1]
I been trying to do it right
I been living a lonely life
I been sleepin' here instead
I been sleepin' in my bed
I been sleepin' in my bed

So show me family
All the blood that I will bleed
I don't know where I belong
I don't know where I went wrong
But I can write a song

[Hook]
I belong with you, you belong with me
You're my sweetheart
I belong with you, you belong with me
You're my sweetheart

[Verse 2]
I don't think you're right for him
Think of what it might have been if we
Took a bus to Chinatown
I'd be standin' on Canal, and Bowery
And she'd be standin' next to me

[Hook]
I belong with you, you belong with me
You're my sweetheart
I belong with you, you belong with me
You're my sweetheart

[Bridge]
Love we need it now
Let's hope for some
Cause oh, we're bleedin' out

[Hook]
I belong with you, you belong with me
You're my sweetheart
I belong with you, you belong with me
You're my sweetheart"
44,45,Lovesong,The Cure,211,Disintegration,1989-05-02,"[Verse 1]
Whenever I'm alone with you
You make me feel like I am home again
Whenever I'm alone with you
You make me feel like I am whole again

[Verse 2]
Whenever I'm alone with you
You make me feel like I am young again
Whenever I'm alone with you
You make me feel like I am fun again

[Chorus]
However far away
I will always love you
However long I stay
I will always love you
Whatever words I say
I will always love you
I will always love you

Fly me to the moon

[Verse 3]
Whenever I'm alone with you
You make me feel like I am free again
Whenever I'm alone with you
You make me feel like I am clean again

[Chorus]
However far away
I will always love you
However long I stay
I will always love you
Whatever words I say
I will always love you
I will always love you"
45,46,Chasing Pavements,Adele,210,19,2008-01-14,"[Verse 1]
I've made up my mind
Don't need to think it over
If I'm wrong, I am right
Don't need to look no further
This ain't lust, I know this is love, but
If I tell the world, I'll never say enough
'Cause it was not said to you
And that's exactly what I need to do if I end up with you

[Chorus]
Should I give up, or should I just keep chasing pavements
Even if it leads nowhere?
Or would it be a waste, even if I knew my place?
Should I leave it there?
Should I give up, or should I just keep chasing pavements
Even if it leads nowhere?

[Verse 2]
I build myself up and fly around in circles
Waiting as my heart drops
And my back begins to tingle
Finally, could this be it, or?

[Chorus]
Should I give up, or should I just keep chasing pavements
Even if it leads nowhere?
Or would it be a waste, even if I knew my place?
Should I leave it there?
Should I give up, or should I just keep chasing pavements
Even if it leads nowhere? Yeah

[Breakdown]
Should I give up, or should I just keep chasing pavements
Even if it leads nowhere?
Or would it be a waste, even if I knew my place?
Should I leave it there?
Should I give up, or should I just keep on chasing pavements?
Should I just keep on chasing pavements?
Oh, oh

[Chorus]
Should I give up, or should I just keep chasing pavements
Even if it leads nowhere?
Or would it be a waste, even if I knew my place?
Should I leave it there?
Should I give up, or should I just keep chasing pavements
Even if it leads nowhere?"
46,47,Something,The Beatles,159,Abbey Road,1969-09-26,"[Verse 1]
Something in the way she moves
Attracts me like no other lover
Something in the way she woos me

[Pre-Bridge]
I don't want to leave her now
You know I believe and how

[Verse 2]
Somewhere in her smile she knows
That I don't need no other lover
Something in her style that shows me

[Pre-Bridge]
I don't want to leave her now
You know I believe and how

[Bridge]
You're asking me will my love grow
I don't know, I don't know
You stick around, now it may show
I don't know, I don't know

[Guitar Solo]

[Verse 3]
Something in the way she knows
And all I have to do is think of her
Something in the things she shows me

[Pre-Bridge]
I don't want to leave her now
You know I believe and how"
47,48,There Is a Light That Never Goes Out,The Smiths,242,The Queen Is Dead,1986-06-16,"[Verse 1]
Take me out tonight
Where there's music and there's people
And they're young and alive
Driving in your car
I never, never want to go home
Because I haven't got one anymore
Take me out tonight
Because I want to see people
And I want to see life
Driving in your car, oh, please don't drop me home
Because it's not my home, it's their home
And I'm welcome no more

[Chorus]
And if a double-decker bus crashes into us
To die by your side is such a heavenly way to die
And if a ten-tonne truck kills the both of us
To die by your side, well, the pleasure, the privilege is mine

[Verse 2]
Take me out tonight
Take me anywhere, I don't care, I don't care
I don't care
And in the darkened underpass
I thought ""Oh God, my chance has come at last""
But then a strange fear gripped me and I just couldn't ask
Take me out tonight
Oh, take me anywhere, I don't care, I don't care
I don't care
Driving in your car
I never, never want to go home
Because I haven't got one, la-di-dum, oh, I haven't got one
Oh, oh

[Chorus]
And if a double-decker bus crashes into us
To die by your side is such a heavenly way to die
And if a ten-tonne truck kills the both of us
To die by your side, well, the pleasure, the privilege is mine

[Outro]
Oh, there is a light and it never goes out
There is a light and it never goes out
There is a light and it never goes out
There is a light and it never goes out
There is a light and it never goes out
There is a light and it never goes out
There is a light and it never goes out
There is a light and it never goes out"
48,49,Banana Pancakes,Jack Johnson,186,In Between Dreams,2005-03-01,"[Intro]
Can't you see that it's just raining?
There ain’t no need to go outside

[Verse 1]
But baby you hardly even notice
When I try to show you this
Song it's meant to keep you
From doing what you're supposed to
Waking up too early
Maybe we could sleep in
I'll make you banana pancakes
Pretend like it's the weekend now

[Chorus]
And we could pretend it all the time
Can't you see that it's just raining
There ain't no need to go outside

[Verse 2]
But just maybe
Laka ukulele
Mama made a baby
I really don’t mind the practice
'Cause you're my little lady
Lady, lady love me
'Cause I love to lay here lazy
We could close the curtains
Pretend like there's no world outside

[Chorus]
And we could pretend it all the time
And can't you see that it's just raining
There ain’t no need to go outside

[Bridge]
Ain’t no need, ain’t no need
Mm-mmm-mm-mmm
Can't you see, can't you see
Rain all day and I don't mind

[Verse 3]
But the telephone singing, ringing, it's too early
Don't pick it up
We don't need to
We got everything we need right here
And everything we need is enough
Just so easy when
The whole world fits inside of your arms
Do we really need to pay attention to the alarm
Wake up slow
Mh-mmm
Wake up slow

[Verse 1]
But baby
You hardly even notice
When I try to show you this
Song it's meant to keep you
From doing what you're supposed to
Waking up too early
Maybe we could sleep in
I'll make you banana pancakes
Pretend like it's the weekend now

[Chorus]
And we could pretend it all the time
Can't you see that it's just raining
There ain't no need to go outside

[Outro]
Ain't no need, ain't no need
Rain all day and I really really really don't mind
Can't you see, can't you see
We've got to wake up slow"
49,50,Something About Us,Daft Punk,232,Discovery,2001-02-26,"[Verse]
It might not be the right time
I might not be the right one
But there's something about us I want to say
'Cause there's something between us anyway
I might not be the right one
It might not be the right time
But there's something about us I've got to do
Some kind of secret I will share with you
I need you more than anything in my life
I want you more than anything in my life
I'll miss you more than anyone in my life
I love you more than anyone in my life"
50,51,We Found Love (feat. Calvin Harris),Rihanna,215,Talk That Talk,,"[Drop: Calvin Harris]

[Verse 1: Rihanna]
Yellow diamonds in the light
And we're standing side by side
As your shadow crosses mine
What it takes to come alive

[Pre-Chorus: Rihanna]
It’s the way I'm feeling, I just can't deny
But I’ve gotta let it go

[Chorus: Rihanna]
We found love in a hopeless place
We found love in a hopeless place
We found love in a hopeless place
We found love in a hopeless place

[Drop: Calvin Harris]

[Verse 2: Rihanna]
Shine a light through an open door
Love and life, I will divide
Turn away cause I need you more
Feel the heartbeat in my mind

[Pre-Chorus: Rihanna]
It's the way I'm feeling, I just can't deny
But I've gotta let it go

[Chorus: Rihanna]
We found love in a hopeless place
We found love in a hopeless place
We found love in a hopeless place
We found love in a hopeless place

[Bridge: Rihanna]
Yellow diamonds in the light
And we're standing side by side
As your shadow crosses mine

[Chorus: Rihanna]
We found love in a hopeless place
We found love in a hopeless place
We found love in a hopeless place
We found love in a hopeless place

[Drop: Calvin Harris]

[Chorus: Rihanna]
We found love in a hopeless place
We found love in a hopeless place
We found love in a hopeless place
We found love in a hopeless place

[Drop: Calvin Harris]"
51,52,Love Is a Losing Game,Amy Winehouse,156,Back to Black,2007-12-05,"[Verse]
For you I was a flame
Love is a losing game
Five story fire as you came
Love is a losing game
One I wish I never played
Oh what a mess we made
And now the final frame
Love is a losing game

Played out by the band
Love is a losing hand
More than I could stand
Love is a losing hand
Self professed, profound
'Til the chips were down
Know you're a gambling man
Love is a losing hand

Though I battle blind
Love is a fate resigned
Memories mar my mind
Love, it is a fate resigned
Over futile odds
And laughed at by the gods
And now the final frame
Love is a losing game"
52,53,Green Eyes,Coldplay,0,A Rush of Blood to the Head,2002-08-26,"[Verse 1]
Honey, you are a rock
Upon which I stand
And I come here to talk
I hope you understand

That green eyes
Yeah, the spotlight
Shines upon you
And how could
Anybody
Deny you

[Chorus]
I came here with a load
And it feels so much lighter
Now I've met you
And honey you should know
That I could never go on
Without you
Green eyes

[Verse 2]
Honey, you are the sea
Upon which I float
And I came here to talk
I think you should know

That green eyes
You're the one that I wanted to find
And anyone who
Tried to deny you
Must be out of their minds

[Chorus]
Because I came here with a load
And it feels so much lighter
Since I've met you
And honey, you should know
That I could never go on without you
Green eyes
Green eyes

[Outro]
Honey, you are a rock
Upon which I stand"
53,54,Linger,The Cranberries,297,"Everybody Else Is Doing It, So Why Can't We?",1993-02-23,"[Verse 1]
If you, if you could return
Don't let it burn
Don't let it fade
I'm sure I might be rude
But it's just your attitude
It's tearing me apart
It's ruining everything
And I swore, I swore I would be true
And honey, so did you
So why were you holding her hand?
Is that the way we stand?
Were you lying all the time?
Was it just a game to you?

[Chorus]
But I'm in so deep
You know I'm such a fool for you
You've got me wrapped around your finger
Do you have to let it linger?
Do you have to, do you have to, do you have to let it linger?

[Verse 2]
Oh, I thought the world of you
I thought nothing could go wrong
But I was wrong, I was wrong
If you, if you could get by
Trying not to lie
Things wouldn't be so confused
And I wouldn't feel so used
But you always really knew
I just want to be with you

[Chorus]
And I'm in so deep
You know I'm such a fool for you
You've got me wrapped around your finger
Do you have to let it linger?
Do you have to, do you have to, do you have to let it linger?

[Instrumental Break]

[Chorus]
And I'm in so deep
You know I'm such a fool for you
You've got me wrapped around your finger
Do you have to let it linger?
Do you have to, do you have to, do you have to let it linger?
You know I'm such a fool for you
You've got me wrapped around your finger
Do you have to let it linger?
Do you have to, do you have to, do you have to let it linger?"
54,55,Breathe Me,Sia,189,Colour the Small One,2004-04-19,"[Verse 1]
Help, I have done it again
I have been here many times before
Hurt myself again today
And, the worst part is there's no-one else to blame

[Chorus]
Be my friend, hold me
Wrap me up, enfold me
I am small and needy
Warm me up and breathe me

[Verse 2]
Ouch I have lost myself again
Lost myself and I am nowhere to be found
Yeah I think that I might break
Lost myself again and I feel unsafe

[Chorus]
Be my friend, hold me
Wrap me up, enfold me
I am small and needy
Warm me up and breathe me
Be my friend, hold me
Wrap me up, enfold me
I am small and needy
Warm me up and breathe me"
55,56,Love Lockdown,Kanye West,270,808s & Heartbreak,2008-09-18,"[Produced by Kanye West & Jeff Bhasker]

[Verse 1]
I'm not loving you, way I wanted to
What I had to do, had to run from you
I'm in love with you, but the vibe is wrong
And that haunted me, all the way home
So you never know, never never know
Never know enough, 'til it's over love
'Til we lose control, system overload
Screaming, ""No, no, no, n-nooo!""
I'm not loving you, way I wanted to
See I wanna move, but can't escape from you
So I keep it low, keep a secret code
So everybody else don't have to know

[Chorus]
So keep your love lockdown—your love lockdown
Keeping your love lockdown—your love lockdown
Now keep your love lockdown—your love lockdown
Now keep your love lockdown—you lose

[Verse 2]
I'm not loving you, way I wanted to
I can't keep my cool, so I keep it true
I got something to lose, so I gotta move
I can't keep myself, and still keep you too
So I keep in mind, when I'm on my own
Somewhere far from home, in the danger zone
How many times did I tell you 'fore it finally got through?
You lose, you lose
I'm not loving you, way I wanted to
See I had to go, see I had to move
No more wasting time, you can't wait for life
We're just racing time, where's the finish line?

[Chorus]
So keep your love lockdown—your love lockdown
Keeping your love lockdown—your love lockdown
Now keep your love lockdown—your love lockdown
Now keep your love lockdown—you lose

[Verse 3]
I'm not loving you, way I wanted to
I bet no one knew, I got no one new
Know I said I'm through, but got love for you
But I'm not loving you, the way I wanted to
Gotta keep it going, keep the loving going
Keep it on the roll, only God knows
If I be with you, baby I'm confused
You choose, you choose
I'm not loving you, way I wanted to
Where I wanna go, I don't need you
I've been down this road, too many times before
I'm not loving you, way I wanted to

[Chorus]
So keep your love lockdown—your love lockdown
Keeping your love lockdown—your love lockdown
Now keep your love lockdown—your love lockdown
Now keep your love lockdown—you lose

[Outro]
You lose, you lose
You lose, you lose"
56,57,Fidelity,Regina Spektor,214,Begin to Hope,2006-06-13,"[Intro]
Shake it up

[Verse 1]
I never loved nobody fully
Always one foot on the ground
And by protecting my heart truly
I got lost in the sounds

[Pre-Chorus]
I hear in my mind
All these voices
I hear in my mind
All of these words
I hear in my mind
All this music
And it breaks my heart
And it breaks my heart

[Chorus]
And it breaks my heart
Well, it breaks my heart

[Verse 2]
Suppose I never ever met you
Suppose we never fell in love
Suppose I never ever let you
Kiss me so sweet and so soft
Suppose I never ever saw you
Suppose you never ever called
Suppose I kept on singing love songs
Just to break my own fall

[Chorus]
Just to break my fall
Just to break my fall
Just to break my fall
Break my fall, break my fall

[Bridge 1]
All my friends say that of course it's
Gonna get better, gonna get better
Better, better, better, better
Better, better, better

[Verse 3]
I never loved nobody fully
Always one foot on the ground
And by protecting my heart truly
I got lost in the sounds

[Pre-Chorus]
I hear in my mind
All of these voices
I hear in my mind
All of these words
I hear in mind
All this music

[Chorus]
And it breaks my heart
And it breaks my heart

[Bridge 2]
I hear in my mind
All of these voices
I hear in my mind
All of these words
I hear in my mind
All of this music
And it breaks my heart
And it breaks my heart

[Chorus]
And it breaks my heart
Oh and it breaks my heart
Oh and it breaks my heart
Oh and it breaks my heart
Breaks my heart
Oh and it breaks my heart
And it breaks my heart
And it breaks my heart
Oh and it breaks my heart"
57,58,"Hey, Soul Sister",Train,405,"Save Me, San Francisco",2009-08-11,"[Intro]
Heyy
Heeey
Heey

[Verse 1]
Your lipstick stains
On the front lobe of my left-side brains
I knew I wouldn't forget you
And so I went and let you
Blow my mind
Your sweet moonbeam
The smell of you
In every single dream I dream
I knew when we collided
You're the one I have decided
Who's one of my kind

[Chorus]
Hey, soul sister
Ain't that Mr. Mister
On the radio, stereo?
The way you move ain't fair, you know
Hey, soul sister
I don't want to miss a
Single thing you do, tonight

[Interlude]
Heyy
Heeey
Heey

[Verse 2]
Just in time
I'm so glad you have
A one track mind like me
You gave my life direction
A game show love connection
We can't deny
I'm so obsessed
My heart is bound to beat right out
My untrimmed chest
I believe in you, like a virgin you're Madonna
And I'm always gonna wanna
Blow your mind

[Chorus]
Hey, soul sister
Ain't that Mr. Mister
On the radio, stereo?
The way you move ain't fair, you know
Hey, soul sister
I don't want to miss a
Single thing you do, tonight

[Bridge]
Way you can cut a rug
Watching you's the only drug I need
So gangster, I'm so thug
You're the only one I'm dreaming of, you see
I can be myself now finally
In fact there's nothing I can't be
I want the world to see you be, with me

[Chorus]
Hey, soul sister
Ain't that Mr. Mister
On the radio, stereo?
The way you move ain't fair, you know
Hey, soul sister
I don't want to miss a
Single thing you do, tonight

[Outro]
Hey, soul sister
I don't want to miss a
Single thing you do, tonight
Heyy
Heeey
Heey, tonight

Heyy
Heeey
Heey, tonight"
58,59,Run,Snow Patrol,346,Final Straw,2004-01-26,"[Verse 1]
I'll sing it one last time for you
Then we really have to go
You've been the only thing that's right
In all I've done

[Verse 2]
And I can barely look at you
But every single time I do
I know we'll make it anywhere
Away from here

[Chorus 1]
Light up, light up
As if you have a choice
Even if you cannot hear my voice
I'll be right beside you dear
Louder louder
And we'll run for our lives
I can hardly speak I understand
Why you can't raise your voice to say

[Verse 3]
To think I might not see those eyes
Makes it so hard not to cry
And as we say our long goodbye
I nearly do

[Chorus 1]
Light up, light up
As if you have a choice
Even if you cannot hear my voice
I'll be right beside you dear
Louder louder
And we'll run for our lives
I can hardly speak I understand
Why you can't raise your voice to say

[Chorus 2]
Slower slower
We don't have time for that
All I want's to find an easy way
To get out of our little heads
Have heart, my dear
We're bound to be afraid
Even if it's just for a few days
Making up for all this mess

[Outro]
Light up, light up
As if you have a choice
Even if you cannot hear my voice
I'll be right beside you dear"
