,Unnamed: 0,Rank,Song Name,Artist,Duration,Album,Lyrics,Year,bins
10,10,16,Somewhere Only We Know,Keane,234,Hopes and Fears,Verse 1I walked across an empty landI knew the pathway like the back of my handI felt the earth beneath my feetSat by the river and it made me completePreChorusOh simple thing where have you goneIm getting old and I need something to rely onSo tell me when youre gonna let me inIm getting tired and I need somewhere to beginVerse 2I came across a fallen treeI felt the branches of it looking at meIs this the place we used to loveIs this the place that Ive been dreaming ofPreChorusOh simple thing where have you goneIm getting old and I need something to rely onSo tell me when youre gonna let me inIm getting tired and I need somewhere to beginChorusAnd if you have a minute why dont we goTalk about it somewhere only we knowThis could be the end of everythingSo why dont we goSomewhere only we knowSomewhere only we knowPreChorusOh simple thing where have you goneIm getting old and I need something to rely onSo tell me when youre gonna let me inIm getting tired and I need somewhere to beginChorusAnd if you have a minute why dont we goTalk about it somewhere only we knowThis could be the end of everythingSo why dont we goSo why dont we goOoh aahOutroThis could be the end of everythingSo why dont we goSomewhere only we knowSomewhere only we knowSomewhere only we know,2004,2000s
11,11,17,This Love,Maroon 5,0,Songs About Jane,Verse 1I was so high I did not recognizeThe fire burning in her eyesThe chaos that controlled my mindWhispered goodbye as she got on a planeNever to return againBut always in my heartChorusThis love has taken its toll on meShe said goodbye too many times beforeAnd her heart is breaking in front of meAnd I have no choice cause I wont say goodbye anymoreVerse 2I tried my best to feed her appetiteKeep her coming every nightSo hard to keep her satisfiedKeep playing love like it was just a gamePretending to feel the sameThen turn around and leave againChorusThis love has taken its toll on meShe said goodbye too many times beforeAnd her heart is breaking in front of meAnd I have no choice cause I wont say goodbye anymoreBridgeIll fix these broken thingsRepair your broken wingsAnd make sure everythings alright Its alright its alrightMy pressure on your hipsSinking my fingertipsInto every inch of youCause I know thats what you want me to doChorusThis love has taken its toll on meShe said goodbye too many times beforeAnd her heart is breaking in front of meAnd I have no choice cause I wont say goodbye anymoreThis love has taken its toll on meShe said goodbye too many times beforeAnd my heart is breaking in front of meShe said goodbye too many times beforeThis love has taken its toll on meShe said goodbye too many times beforeAnd her heart is breaking in front of meI have no choice cause I wont say goodbye anymore,2002,2000s
12,12,18,Best I Ever Had,Drake,257,So Far Gone,IntroYou know a lot of girls beThinkin my songs are about themThis is not to get confusedThis ones for youChorusBaby you my everything you all I ever wantedWe could do it real big bigger than you ever done itYou be up on everything other hoes aint never on itI want this forever I swear I can spend whatever on itCause she hold me down every time I hit her upWhen I get right I promise that we gon live it upShe made me beg for it til she give it upAnd I say the same thing every single timeI say you the fuckin best Ayy you the fuckin best AyyYou the fuckin best Ayy you the fuckin best AyyYou the best I ever had Ayy best I ever had AyyBest I ever had Ayy best I ever hadI say you the fuckinVerse 1Know you got a roommate call me when theres no one therePut the key under the mat and you know I be over there YupI be over there shawty I be over thereI be hittin all the spots that you aint even know was thereAnd you dont even have to ask twiceYou could have my heart or we could share it like the last sliceAlways felt like you was so accustomed to the fast lifeHave a nigga thinkin that he met you in a past lifeSweatpants hair tied chillin with no makeup onThats when youre the prettiestI hope that you dont take it wrongYou dont even trip when friends sayYou aint bringin Drake alongYou know that Im workin Ill be there soon as I make it homeAnd she a patient in my waiting roomNever pay attention to the rumors and what they assumeAnd until them girls prove itIm the one that never get confused with causeChorusBaby you my everything you all I ever wantedWe could do it real big bigger than you ever done itYou be up on everything other hoes aint never on itI want this forever I swear I can spend whatever on itCause she hold me down every time I hit her upWhen I get right I promise that we gon live it upShe made me beg for it til she give it upAnd I say the same thing every single timeI say you the fuckin best Ayy you the fuckin best AyyYou the fuckin best Ayy you the fuckin best AyyYou the best I ever had Ayy best I ever had AyyBest I ever had Ayy best I ever hadI say you the fuckinVerse 2Sex Love Pain baby I be on that Tank shitBuzz so big I could probably sell a blank discWhen my album drop bitchesll buy it for the pictureAnd niggasll buy it too and claim they got it for they sisterMagazine paper girl the money aint the issueThey bring dinner to my room and ask me to initialShe call me the referee cause I be so officialMy shirt aint got no stripes but I can make your pussy whistleLike the Andy Griffith theme songAnd who told you to put them jeans onDouble cup love you the one I lean onFeelin for a fix then you should really get your fiend onYeah just know my condo is the crack spotEvery single show she out there reppin like a mascotGet it from the back and make your fuckin bra strap popAll up in your slot til a nigga hit the jackpot Im sayingChorusBaby you my everything you all I ever wantedWe could do it real big bigger than you ever done itYou be up on everything other hoes aint never on itI want this forever I swear I can spend whatever on itCause she hold me down every time I hit her upWhen I get right I promise that we gon live it upShe made me beg for it til she give it upAnd I say the same thing every single timeI say you the fuckin best Ayy you the fuckin best AyyYou the fuckin best Ayy you the fuckin best AyyYou the best I ever had Ayy best I ever had AyyBest I ever had Ayy best I ever hadI say you the fuckin best Ayy you the fuckin best AyyYou the fuckin best Ayy you the fuckin best AyyYou the best I ever had Ayy best I ever had AyyBest I ever had Ayy best I ever hadOutroUhh ah yeahSee this the type of joint you gotta dedicate to somebodyJust make sure they that special somebodyYoung Money yeah yeahYou know who you areI got you,2009,2000s
13,13,19,I MISS YOU,blink-182,227,Bankrupt!,Intro Mark HoppusI miss you I miss youVerse 1 Mark HoppusHello thereThe angel from my nightmareThe shadow in the background of the morgueThe unsuspecting victim of darkness in the valleyWe can live like Jack and Sally if we wantWhere you can always find meAnd well have Halloween on ChristmasAnd in the night well wish this never endsWell wish this never endsInterlude Mark HoppusI miss you I miss youI miss you I miss youVerse 2 Tom DeLongeWhere are youAnd Im so sorryI cannot sleep I cannot dream tonightI need somebody and alwaysThis sick strange darknessComes creeping on so haunting every timeAnd as I stare I countedThe webs from all the spidersCatching things and eating their insidesLike indecision to call youAnd hear your voice of treasonWill you come home and stop this pain tonightStop this pain tonightChorus Tom DeLonge and Mark HoppusDont waste your time on me youre alreadyThe voice inside my head I miss you I miss youDont waste your time on me youre alreadyThe voice inside my head I miss you I miss youChorus Tom DeLonge and Mark HoppusDont waste your time on me youre alreadyThe voice inside my head I miss you I miss youDont waste your time on me youre alreadyThe voice inside my head I miss you I miss youDont waste your time on me youre alreadyThe voice inside my head I miss you I miss youDont waste your time on me youre alreadyThe voice inside my head I miss you I miss youOutro Mark HoppusI miss you I miss youI miss you I miss youI miss you I miss youI miss you I miss you,2004,2000s
14,14,20,Here Without You,3 Doors Down,235,Away from the Sun,Verse 1A hundred days have made me olderSince the last time that I saw your pretty faceA thousand lies have made me colderAnd I dont think I can look at this the sameBut all the miles that separateDisappear now when Im dreaming of your faceChorusIm here without you babyBut youre still on my lonely mindI think about you babyAnd I dream about you all the timeIm here without you babyBut youre still with me in my dreamsAnd tonight its only you and me yeahVerse 2The miles just keep rollingAs the people leave their way to say helloIve heard this life is overratedBut I hope that it gets better as we goOh yeah yeahChorusIm here without you babyBut youre still on my lonely mindI think about you babyAnd I dream about you all the timeIm here without you babyBut youre still with me in my dreamsAnd tonight girl its only you and me yeahBridgeEverything I know and anywhere I goIt gets hard but it wont take away my loveAnd when the last one fallsWhen its all said and doneIt gets hard but it wont take away my loveWhoa oh ohInstrumental BridgeChorusIm here without you babyBut youre still on my lonely mindI think about you babyAnd I dream about you all the timeIm here without you babyBut youre still with me in my dreamsAnd tonight girl its only you and meYeahOh yeah,2002,2000s
15,15,24,Halo,Beyoncé,262,I Am... Sasha Fierce,Verse 1Remember those walls I builtWell baby theyre tumblin downAnd they didnt even put up a fightThey didnt even make a soundI found a way to let you inBut I never really had a doubtStandin in the light of your haloI got my angel nowPreChorusIts like Ive been awakenedEvery rule I had you breakinIts the risk that Im takinI aint never gonna shut you outChorusEverywhere Im lookin nowIm surrounded by your embraceBaby I can see your haloYou know youre my savin graceYoure everything I need and moreIts written all over your faceBaby I can feel your haloPray it wont fade awayPostChorusI can feel your halo halo haloI can see your halo halo haloI can feel your halo halo haloI can see your halo haloHaloVerse 2Hit me like a ray of sunBurnin through my darkest nightYoure the only one that I wantThink Im addicted to your lightI swore Id never fall againBut this dont even feel like fallinGravity cant beginTo pull me back to the ground againPreChorusIts like Ive been awakenedEvery rule I had you breakinThe risk that Im takinIm never gonna shut you outChorusEverywhere Im lookin nowIm surrounded by your embraceBaby I can see your haloYou know youre my savin graceYoure everything I need and moreIts written all over your faceBaby I can feel your haloPray it wont fade awayPostChorusI can feel your halo halo haloI can see your halo halo haloI can feel your halo halo haloI can see your halo haloI can feel your halo halo haloI can see your halo halo haloI can feel your halo halo haloI can see your halo haloHaloHaloOohChorusEverywhere Im lookin nowIm surrounded by your embraceBaby I can see your haloYou know youre my savin graceYoure everything I need and moreIts written all over your faceBaby I can feel your haloPray it wont fade awayPostChorusI can feel your halo halo haloI can see your halo halo haloI can feel your halo halo haloI can see your halo haloHalo oh ohI can feel your halo halo haloI can see your halo halo haloI can feel your halo halo haloI can see your halo haloHalo,2009,2000s
16,16,26,The Reason,Hoobastank,231,Is This The Day?,Verse 1Im not a perfect personTheres many things I wish I didnt doBut I continue learningI never meant to do those things to youAnd so I have to say before I goThat I just want you to knowChorusIve found a reason for meTo change who I used to beA reason to start over newAnd the reason is youVerse 2Im sorry that I hurt youIts something I must live with every dayAnd all the pain I put you throughI wish that I could take it all awayAnd be the one who catches all your tearsThats why I need you to hearChorusIve found a reason for meTo change who I used to beA reason to start over newAnd the reason is youBridgeAnd the reason is youAnd the reason is youAnd the reason is youBreakdownIm not a perfect personI never meant to do those things to youAnd so I have to say before I goThat I just want you to knowChorusIve found a reason for meTo change who I used to beA reason to start over newAnd the reason is youOutroI’ve found a reason to showA side of me you didn’t knowA reason for all that I doAnd the reason is you,2003,2000s
17,17,27,Hey There Delilah,Plain White T's,233,All That We Needed,Verse 1Hey there DelilahWhats it like in New York CityIm a thousand miles awayBut girl tonight you look so prettyYes you doTimes Square cant shine as bright as youI swear its trueHey there DelilahDont you worry about the distanceIm right there if you get lonelyGive this song another listenClose your eyesListen to my voice its my disguiseIm by your sideChorusOh its what you do to meOh its what you do to meOh its what you do to meOh its what you do to meWhat you do to meVerse 2Hey there DelilahI know times are getting hardBut just believe me girlSomeday Ill pay the bills with this guitarWell have it goodWell have the life we knew we wouldMy word is goodHey there DelilahIve got so much left to sayIf every simple song I wrote to youWould take your breath awayId write it allEven more in love with me youd fallWed have it allChorusOh its what you do to meOh its what you do to meOh its what you do to meOh its what you do to meBridgeA thousand miles seems pretty farBut theyve got planes and trains and carsId walk to you if I had no other wayOur friends would all make fun of usAnd well just laugh along because we knowThat none of them have felt this wayDelilah I can promise youThat by the time we get throughThe world will never ever be the sameAnd youre to blameVerse 3Hey there DelilahYou be good and dont you miss meTwo more years and youll be done with schoolAnd Ill be making history like I doYoull know its all because of youWe can do whatever we want toHey there Delilah heres to youThis ones for youChorusOh its what you do to meOh its what you do to meOh its what you do to meOh its what you do to meWhat you do to me ohoh ohoh ohoh ohoh,2006,2000s
18,18,28,All I Need,Radiohead,261,In Rainbows,Verse 1Im the next actWaiting in the wingsIm an animalTrapped in your hot carI am all the daysThat you choose to ignoreChorusYou are all I needYoure all I needIm in the middle of your pictureLying in the reedsVerse 2Im a mothWho just wants to share your lightIm just an insectTrying to get out of the nightI only stick with youBecause there are no othersChorusYou are all I needYoure all I needIm in the middle of your pictureLying in the reedsOutroIts all wrong its all wrong its all wrongIts all right  its all right  its all rightIts all wrong  its all rightIts all right  its all right,2007,2000s
19,19,29,Heartbeats,José González,0,Heartbeats,Verse 1One night to be confusedOne night to speed up truthWe had a promise madeFour hands and then awayBoth under influenceWe had divine senseTo know what to sayMind is a razor bladeChorusTo call for hands of aboveTo lean onWouldnt be good enoughFor me noVerse 2One night of magic rushThe start of simple touchOne night to push and screamAnd then reliefTen days of perfect huesThe colors red and blueWe had a promise madeWe were in loveChorusTo call for hands of aboveTo lean onWouldnt be good enoughFor me noTo call for hands of aboveTo lean onWouldnt be good enoughBridgeAnd you you knew the hand of the devilAnd you kept us awake with wolf teethSharing different heartbeatsIn one nightChorusTo call for hands of aboveTo lean onWouldnt be good enoughFor me noTo call for hands of aboveTo lean onWouldnt be good enough,2003,2000s
20,20,30,Better Together,Jack Johnson,253,In Between Dreams,Verse 1There is no combination of wordsI could put on the back of a postcardNo song that I could sing but I can try for your heartOur dreams and they are made out of real thingsLike a shoebox of photographsWith sepiatoned lovingVerse 2Love is the answerAt least for most of the questions in my heartLike why are we here And where do we goAnd how come its so hardIts not always easy andSometimes life can be deceivingIll tell you one thingIts always better when were togetherChorusMmm its always better when were togetherYeah well look up at stars when were togetherWell its always better when were togetherYeah its always better when were togetherVerse 3And all of these momentsJust might find their way into my dreams tonightBut I know that theyll be goneWhen the morning light singsOr brings new thingsFor tomorrow night you seeThat theyll be gone tooToo many things I have to doBut if all of these dreams might find their wayInto my day to day sceneId be under the impressionI was somewhere in betweenWith only twoJust me and youNot so many things we got to doOr places we got to beWell sit beneath the mango tree nowChorusYeah its always better when were togetherMmm were somewhere in between togetherWell its always better when were togetherYeah its always better when were togetherBridgeI believe in memoriesThey look soSo pretty when I sleepAnd I waAnd when I wake upYou look so prettySleeping next to meBut there isNot enough timeAnd there is noNo song I could singAnd there is noCombination of words I could sayBut I will stillTell you one thingWere better together,2005,2000s
21,21,31,My Immortal,Evanescence,0,Fallen,Verse 1Im so tired of being hereSuppressed by all my childish fearsAnd if you have to leaveI wish that you would just leaveCause your presence still lingers hereAnd it wont leave me alonePreChorusThese wounds wont seem to healThis pain is just too realTheres just too much that time cannot eraseChorusWhen you cried Id wipe away all of your tearsWhen youd scream Id fight away all of your fearsAnd I held your hand through all of these yearsBut you still have all of meVerse 2You used to captivate meBy your resonating lightNow Im bound by the life you left behindYour face it hauntsMy once pleasant dreamsYour voice it chased awayAll the sanity in mePreChorusThese wounds wont seem to healThis pain is just too realTheres just too much that time cannot eraseChorusWhen you cried Id wipe away all of your tearsWhen youd scream Id fight away all of your fearsAnd I held your hand through all of these yearsBut you still have all of meBridgeIve tried so hard to tell myself that youre goneBut though youre still with meIve been alone all alongChorusOutroWhen you cried Id wipe away all of your tearsWhen youd scream Id fight away all of your fearsAnd I held your hand through all of these yearsBut you still have all of meAh me ah me ah,2003,2000s
22,22,32,You've Got the Love,Florence + the Machine,167,Lungs,ChorusSometimes I feel like throwing my hands up in the airI know I can count on youSometimes I feel like saying Lord I just dont careBut youve got the love I need to see me throughVerse 1Sometimes it seems the going is just too roughAnd things go wrong no matter what I doNow and then it seems that life is just too muchBut youve got the love I need to see me throughWhen food is gone you are my daily meal ohWhen friends are gone I know my saviors love is realYou know its realHookCause youve got the love youve got the loveYouve got the love youve got the loveYouve got the love youve got the loveVerse 2Time after time I think Oh Lord whats the useTime after time I think its just no goodCause sooner or later in life the things you love you loseBut youve got the love I need to see me throughHookYouve got the love youve got the loveYouve got the love youve got the loveYouve got the love youve got the loveYouve got the love youve got the loveYouve got the love youve got the loveYouve got the love youve got the loveOutroSometimes I feel like throwing my hands up in the airCause I know I can count on you ohSometimes I feel like saying Lord I just dont careBut youve got the love I need to see me through,2009,2000s
23,23,33,Maps,Yeah Yeah Yeahs,0,Fever To Tell,Verse 1Pack upIm straightEnoughPreChorusIll say say sayIll say say sayIll say say sayIll say say sayIll say say sayChorusWait they dont love you like I love youWait they dont love you like I love youMapsWait they dont love you like I love youVerse 2Made offDont strayMy kinds your kindIll stay the samePack upDont strayPreChorusIll say say sayIll say say sayChorusWait they dont love you like I love youWait they dont love you like I love youMapsWait they dont love you like I love youWait they dont love you like I love youMapsWait they dont love you like I love youInstrumental BridgeChorusWait they dont love you like I love youWait they dont love you like I love youMapsWait they dont love you like I love youWait they dont love you like I love youMapsWait they dont love you like I love you,2003,2000s
24,24,36,House of Cards,Radiohead,352,In Rainbows,Verse 1I dont wanna be your friendI just wanna be your loverNo matter how it endsNo matter how it startsChorusForget about your house of cardsAnd Ill do mineForget about your house of cardsAnd Ill do mineAnd fall off the tableGet swept underDenial denialVerse 2The infrastructure will collapseFrom voltage spikesThrow your keys in the bowlKiss your husband good nightChorusAnd forget about your house of cardsAnd Ill do mineForget about your house of cardsAnd Ill do mineFall off the tableGet swept underDenial denialDenial denialOutroYour ears should be burningDenial denialYour ears should be burningDenial denial,2007,2000s
25,25,38,You're Beautiful,James Blunt,214,Back to Bedlam,IntroMy life is brilliantVerse 1My life is brilliant my love is pureI saw an angel of that Im sureShe smiled at me on the subwayShe was with another manBut I wont lose no sleep on thatCause Ive got a planChorusYoure beautiful youre beautifulYoure beautiful its trueI saw your face in a crowded placeAnd I dont know what to doCause Ill never be with youVerse 2Yeah she caught my eye as we walked on byShe could see from my face that I was fucking highAnd I dont think that Ill see her againBut we shared a moment that will last til the endChorusYoure beautiful youre beautifulYoure beautiful its trueI saw your face in a crowded placeAnd I dont know what to doCause Ill never be with youNa na na na na na na na na na na na naOutroYoure beautiful youre beautifulYoure beautiful its trueThere must be an angel with a smile on her faceWhen she thought up that I should be with youBut its time to face the truthI will never be with you,2005,2000s
